floor,time(ms),pressure(Pa),temperature(C)
3,11,194250.00,32.26
3,522,194255.00,32.27
3,1034,194248.00,32.28
3,1546,194256.00,32.28
3,2058,194254.00,32.28
3,2570,194252.00,32.29
3,3082,194254.00,32.29
3,3594,194254.00,32.29
3,4106,194255.00,32.29
3,4618,194250.00,32.30
3,5130,194258.00,32.30
3,5642,194261.00,32.30
3,6154,194259.00,32.30
3,6666,194252.00,32.30
3,7178,194255.00,32.30
3,7690,194256.00,32.30
3,8202,194258.00,32.31
3,8714,194251.00,32.31
3,9226,194259.00,32.32
3,9738,194259.00,32.32
3,10250,194253.00,32.32
3,10762,194259.00,32.33
3,11274,194258.00,32.33
3,11786,194257.00,32.34
3,12298,194254.00,32.35
3,12810,194249.00,32.36
3,13322,194261.00,32.36
3,13834,194250.00,32.37
3,14346,194247.00,32.37
3,14858,194256.00,32.39
