floor,time(ms),pressure(Pa),temperature(C)
4,12,194190.00,32.58
4,523,194196.00,32.59
4,1035,194193.00,32.59
4,1547,194195.00,32.59
4,2059,194193.00,32.59
4,2571,194193.00,32.58
4,3083,194203.00,32.58
4,3595,194200.00,32.59
4,4107,194199.00,32.58
4,4619,194189.00,32.58
4,5131,194195.00,32.58
4,5643,194197.00,32.58
4,6155,194196.00,32.58
4,6667,194198.00,32.58
4,7179,194203.00,32.58
4,7691,194195.00,32.58
4,8203,194199.00,32.58
4,8715,194197.00,32.58
4,9227,194194.00,32.59
4,9739,194200.00,32.59
4,10251,194202.00,32.59
4,10763,194195.00,32.60
4,11275,194198.00,32.60
4,11787,194203.00,32.61
4,12299,194206.00,32.62
4,12811,194194.00,32.62
4,13323,194204.00,32.63
4,13835,194201.00,32.63
4,14347,194203.00,32.64
4,14859,194206.00,32.65
