floor,time(ms),pressure(Pa),temperature(C)
1,11,194401.00,31.95
1,522,194406.00,31.96
1,1034,194413.00,31.96
1,1546,194410.00,31.97
1,2058,194405.00,31.97
1,2570,194409.00,31.97
1,3082,194409.00,31.97
1,3594,194415.00,31.98
1,4106,194411.00,31.98
1,4618,194407.00,31.98
1,5130,194411.00,31.99
1,5642,194403.00,31.99
1,6154,194404.00,31.99
1,6666,194411.00,32.00
1,7178,194404.00,32.00
1,7690,194408.00,32.01
1,8202,194407.00,32.02
1,8714,194408.00,32.03
1,9226,194407.00,32.03
1,9738,194410.00,32.04
1,10250,194412.00,32.04
1,10762,194406.00,32.04
1,11274,194405.00,32.04
1,11786,194409.00,32.04
1,12298,194404.00,32.03
1,12810,194406.00,32.02
1,13322,194404.00,32.02
1,13834,194408.00,32.02
1,14346,194408.00,32.02
1,14858,194403.00,32.01
