Timestamp,Set_L,Act_L,Err_L,Set_R,Act_R,Err_R,Diff_LR
1772468022.262748,1.9098591804504395,20.897184371948242,-18.987325191497803,1.9098591804504395,5.0271830558776855,-3.117323875427246,15.870001316070557
1772468022.3175905,1.9098591804504395,20.897184371948242,-18.987325191497803,1.9098591804504395,5.0271830558776855,-3.117323875427246,15.870001316070557
1772468022.3696742,1.9098591804504395,22.687183380126953,-20.777324199676514,1.9098591804504395,6.197183132171631,-4.287323951721191,16.490000247955322
1772468022.4182777,1.9098591804504395,22.687183380126953,-20.777324199676514,1.9098591804504395,6.197183132171631,-4.287323951721191,16.490000247955322
1772468022.464667,1.9098591804504395,22.687183380126953,-20.777324199676514,1.9098591804504395,6.197183132171631,-4.287323951721191,16.490000247955322
1772468022.5148082,1.9098591804504395,24.69718360900879,-22.78732442855835,1.9098591804504395,30.767183303833008,-28.85732412338257,-6.069999694824219
1772468022.561839,1.9098591804504395,24.69718360900879,-22.78732442855835,1.9098591804504395,30.767183303833008,-28.85732412338257,-6.069999694824219
1772468022.614719,1.9098591804504395,24.69718360900879,-22.78732442855835,1.9098591804504395,30.767183303833008,-28.85732412338257,-6.069999694824219
1772468022.668477,1.9098591804504395,20.187185287475586,-18.277326107025146,1.9098591804504395,29.80718421936035,-27.897325038909912,-9.619998931884766
1772468022.7180543,1.9098591804504395,20.187185287475586,-18.277326107025146,1.9098591804504395,29.80718421936035,-27.897325038909912,-9.619998931884766
1772468022.7626734,1.9098591804504395,20.187185287475586,-18.277326107025146,1.9098591804504395,29.80718421936035,-27.897325038909912,-9.619998931884766
1772468022.8159418,1.9098591804504395,7.37718391418457,-5.467324733734131,1.9098591804504395,10.89718246459961,-8.98732328414917,-3.519998550415039
1772468022.8627024,1.9098591804504395,7.37718391418457,-5.467324733734131,1.9098591804504395,10.89718246459961,-8.98732328414917,-3.519998550415039
1772468022.918273,1.9098591804504395,7.37718391418457,-5.467324733734131,1.9098591804504395,10.89718246459961,-8.98732328414917,-3.519998550415039
1772468022.9667642,1.9098591804504395,25.00718116760254,-23.0973219871521,1.9098591804504395,12.427184104919434,-10.517324924468994,12.579997062683105
1772468023.01434,1.9098591804504395,25.00718116760254,-23.0973219871521,1.9098591804504395,12.427184104919434,-10.517324924468994,12.579997062683105
1772468023.066295,1.9098591804504395,25.00718116760254,-23.0973219871521,1.9098591804504395,12.427184104919434,-10.517324924468994,12.579997062683105
1772468023.1120055,1.9098591804504395,27.767183303833008,-25.85732412338257,1.9098591804504395,31.71718406677246,-29.80732488632202,-3.950000762939453
1772468023.1629431,1.9098591804504395,27.767183303833008,-25.85732412338257,1.9098591804504395,31.71718406677246,-29.80732488632202,-3.950000762939453
1772468023.2197666,1.9098591804504395,24.2371826171875,-22.32732343673706,1.9098591804504395,31.427183151245117,-29.517323970794678,-7.190000534057617
1772468023.268152,1.9098591804504395,24.2371826171875,-22.32732343673706,1.9098591804504395,31.427183151245117,-29.517323970794678,-7.190000534057617
1772468023.31592,1.9098591804504395,24.2371826171875,-22.32732343673706,1.9098591804504395,31.427183151245117,-29.517323970794678,-7.190000534057617
1772468023.365029,1.9098591804504395,18.517183303833008,-16.60732412338257,1.9098591804504395,21.10718536376953,-19.197326183319092,-2.5900020599365234
1772468023.411745,1.9098591804504395,18.517183303833008,-16.60732412338257,1.9098591804504395,21.10718536376953,-19.197326183319092,-2.5900020599365234
1772468023.465519,1.9098591804504395,21.1071834564209,-19.19732427597046,1.9098591804504395,2.9071829319000244,-0.997323751449585,18.200000524520874
1772468023.519964,1.9098591804504395,21.1071834564209,-19.19732427597046,1.9098591804504395,2.9071829319000244,-0.997323751449585,18.200000524520874
1772468023.566054,1.9098591804504395,21.1071834564209,-19.19732427597046,1.9098591804504395,2.9071829319000244,-0.997323751449585,18.200000524520874
1772468023.616419,1.9098591804504395,23.097185134887695,-21.187325954437256,1.9098591804504395,24.377182006835938,-22.467322826385498,-1.2799968719482422
1772468023.6617882,1.9098591804504395,23.097185134887695,-21.187325954437256,1.9098591804504395,24.377182006835938,-22.467322826385498,-1.2799968719482422
1772468023.713889,1.9098591804504395,23.097185134887695,-21.187325954437256,1.9098591804504395,24.377182006835938,-22.467322826385498,-1.2799968719482422
1772468023.7698374,1.9098591804504395,23.41718292236328,-21.507323741912842,1.9098591804504395,31.797182083129883,-29.887322902679443,-8.379999160766602
1772468023.821165,1.9098591804504395,23.41718292236328,-21.507323741912842,1.9098591804504395,31.797182083129883,-29.887322902679443,-8.379999160766602
1772468023.8685815,1.9098591804504395,23.41718292236328,-21.507323741912842,1.9098591804504395,31.797182083129883,-29.887322902679443,-8.379999160766602
1772468023.91473,1.9098591804504395,9.747184753417969,-7.837325572967529,1.9098591804504395,26.35718536376953,-24.447326183319092,-16.610000610351562
1772468023.9694285,1.9098591804504395,9.747184753417969,-7.837325572967529,1.9098591804504395,26.35718536376953,-24.447326183319092,-16.610000610351562
1772468024.01624,1.9098591804504395,16.067184448242188,-14.157325267791748,1.9098591804504395,8.747184753417969,-6.837325572967529,7.319999694824219
1772468024.0665743,1.9098591804504395,16.067184448242188,-14.157325267791748,1.9098591804504395,8.747184753417969,-6.837325572967529,7.319999694824219
1772468024.1156213,1.9098591804504395,16.067184448242188,-14.157325267791748,1.9098591804504395,8.747184753417969,-6.837325572967529,7.319999694824219
1772468024.166632,1.9098591804504395,28.60718536376953,-26.697326183319092,1.9098591804504395,15.47718334197998,-13.567324161529541,13.13000202178955
1772468024.2185779,1.9098591804504395,28.60718536376953,-26.697326183319092,1.9098591804504395,15.47718334197998,-13.567324161529541,13.13000202178955
1772468024.2647858,1.9098591804504395,28.60718536376953,-26.697326183319092,1.9098591804504395,15.47718334197998,-13.567324161529541,13.13000202178955
1772468024.3180804,1.9098591804504395,26.1071834564209,-24.19732427597046,1.9098591804504395,30.94718360900879,-29.03732442855835,-4.840000152587891
1772468024.3682573,1.9098591804504395,26.1071834564209,-24.19732427597046,1.9098591804504395,30.94718360900879,-29.03732442855835,-4.840000152587891
1772468024.4140368,1.9098591804504395,26.1071834564209,-24.19732427597046,1.9098591804504395,30.94718360900879,-29.03732442855835,-4.840000152587891
1772468024.4608607,1.9098591804504395,17.58718490600586,-15.67732572555542,1.9098591804504395,28.727184295654297,-26.817325115203857,-11.139999389648438
1772468024.5206351,1.9098591804504395,17.58718490600586,-15.67732572555542,1.9098591804504395,28.727184295654297,-26.817325115203857,-11.139999389648438
1772468024.5683854,1.9098591804504395,17.78718376159668,-15.87732458114624,1.9098591804504395,18.71718406677246,-16.80732488632202,-0.9300003051757812
1772468024.6181378,1.9098591804504395,17.78718376159668,-15.87732458114624,1.9098591804504395,18.71718406677246,-16.80732488632202,-0.9300003051757812
1772468024.667747,1.9098591804504395,21.367183685302734,-19.457324504852295,1.9098591804504395,3.867184638977051,-1.9573254585266113,17.499999046325684
1772468024.7066667,1.9098591804504395,21.367183685302734,-19.457324504852295,1.9098591804504395,3.867184638977051,-1.9573254585266113,17.499999046325684
